<<<<<<< HEAD
﻿Reviews,Customer Rating,GPT4o,Manual,Gemini 1.5 (Pro)
Đặt mua micro Xingma AK-318 nhưng shop lại giao micro hiệu KAW-829. Tuy nhiên mình sẽ test thử nếu chất lượng của nó không tương đương như của Xingma hay như quảng cáo thì sẽ đổi trả cũng không muộn. tạm thời chob4 sao,4,neutral,neutral,neutral
"mới sử dụng mà thấy ok lắm, lâu dài thì chưa biết",4,neutral,positive,positive
hơi rè .hát đc ,4,neutral,neutral,neutral
micro này dùng để đọc điễn đàng đc hơn để hát mua loại đắc hơn chắc hát hay hơn loại này không đc vang .,4,negative,neutral,negative
cũng thường thôi....,4,neutral,neutral,neutral
"Sp âm thanh hay trong tầm giá, dùng được ",4,positive,positive,positive
"mình rất hài lòng về sản phẩm của shop giao hàng cực nhanh , giá lại rẻ ,hàng thì ok hát nghe êm ",4,positive,positive,positive
"nhận tét thủ ok,dùng lâu mơi biết chất lượng ",4,neutral,neutral,neutral
Rẻ dùng tạm hát chán lắm toàn bị thu vào loa kêu điếc tai,4,negative,negative,negative
Dây nhỏ ,4,neutral,neutral,neutral
bé quá không biết dùng ra gì không nhưng vẫn ủng hộ shop,4,neutral,neutral,positive
Nhỏ hơn loại bình thường,4,negative,neutral,negative
Mic cam vao hoi bi re ,4,negative,neutral,negative
"mic đẹp , có phiếu bảo hành phụ kiện đầy đủ , test thử thì hút âm k đc tốt , eco hơi kém phải mở volume khá lớn , có chống hú",4,neutral,neutral,neutral
ok,4,neutral,neutral,neutral
chua su dung san pham nen chua biet ket qua dong goi can than giao hang nhanh chong ,4,neutral,neutral,neutral
mít nói hơi nhỏ.,4,neutral,neutral,negative
Tốt ,4,positive,positive,positive
"Hàng đúng như hình, hơi nhỏ chút nhưng hát cũng ổn",4,neutral,positive,positive
"Mình thấy họ mua khen nên mua thử . Mic vào âm tạm ổn được . nhưng mình thì dùng đồ cao cấp quen rồi nên thấy Mic không khỏe lắm. Tiền nào của nấy với giá tiền thế này thì tốt rồi , ai chơi nhỏ lẻ thì mua cũng dùng được, đóng gói hộp đẹp cẩn thận , thực tế mua như thế này dùng được là được không cần bảo hành , nhưng shop cũng để giấy đi kèm sản phẩm, cách phục vụ mua bán của Shop mình thật ưng ý cách phục vụ mua bán đáng nghìn sao ⭐️👍",4,positive,positive,positive
"cũng được, mic nhỏ xíu hà",4,neutral,neutral,neutral
"Chưa sử dụng nên chưa biết chất lượng ra sao, giao hàng hơi lâu so với lần trước. Voucher quà tặng 50k thì...không biết nói thế nào chỉ là một miếng  gỗ hình chú  chó. mà giá 50k",4,negative,neutral,negative
"Tai nghe ổn áp mà hơi tiếc một chút, mua hộp mà có dây kết nối máy tính ò",5,neutral,neutral,neutral
Chất lượng sản phẩm: tốt. Tính năng nổi bật: nghe rõ. Dùng tốt cho hỏi shop một chút lànút nguồn nó bị mà khó bấm vậy mong shopp repp. Hình ảnh chỉ mang tc nhận xu,5,neutral,neutral,positive
"Hàng đẹp chất lượng xinh xắn dễ thương, con gái mh rất thích, cảm ơn shop nhiều",5,positive,positive,positive
"Chất lượng sản phẩm: tuyệt ời. Tính năng nổi bật: âm thanh tốt, lớn, nhiều chức năng.. tuyệt ời lắm luôn, tai nghe kết nối điện thoại hay laptop gì cũng được hết, dây sạc hơi ngắn nên mn dùng sạc chui đt Android cũng được, âm thanh nghe êm cực luôn, bật max volume nghe như đi quẩy bar vậy, shop tư vấn rất nhiệt tình, sẽ ủng hộ shop lần sau ạ",5,positive,positive,positive
"Giao hàng hơi lâu, mà sản phẩm nhận được khá ưng nha, nghe nhạc cũng êm, đèn đẹp, k biết có bền không thôi",5,neutral,neutral,neutral
"Chẳng có ai vĩnh viễn không thể rời bỏ ai. Cũng chẵng có ai vĩnh viễn luôn bên bạn. Bạn phải biết rằng, ngày mưa đến cái bóng cũng sẽ bỏ bạn mà đi",5,negative,negative,neutral
Chất lượng sản phẩm: giao nhanh. tôts rẻ nên mua nhé albcn tuyệt vời đáng mua ahbvnb,5,positive,positive,positive
Chất lượng sản phẩm: ok. Tính năng nổi bật: ok. Shop ship hàng nhanh. Sản phẩm chất lượng Thank shop nhièu,5,positive,positive,positive
Đrt có gì nói chuyện gì không có tiền thì con sẽ đi lm gì đâu anh ạ anh không biết nói sao nghe máy đi anh không biết,5,negative,negative,neutral
Sản phẩm xinh đẹp tuyệt vời đ cho sốp ạ tôi xin chân thành cảm ơn,5,positive,positive,positive
vd và hính ảnh không liên quan nma tai nghe mèo rất đẹp và xịn nha mn nên mua,5,positive,positive,positive
"Chất lượng sản phẩm: tôt lăm. Tính năng nổi bật: nghe. Xin chào Thảo Cảm ơn bạn đã nhắn tin. Hiện tại, chúng tôi không ở đây, nhưng chúng tôi sẽ sớm liên hệ lại với bạn Trong trường hợp cần liên hệ gấp bạn có thể gọi đến tổng đài để được hỗ trợ tốt nhất.",5,neutral,neutral,neutral
"Chất lượng sản phẩm: khá ổn nhưng lúc mik nhận về thì tai nghe có vết trầy xước khá nhiều. Tính năng nổi bật: nghe lớn. Bao bì bên ngoài giống như bị ngta xé ra vậy á, mik để quên e nó tới h mới quay lại đánh giá",5,negative,negative,neutral
"Chất lượng sản phẩm: toots. Tính năng nổi bật: nghe nhạc. Bé nhà mình rất thích nhé, có điều hàng ko giống hình có dấu chân như hình",4,neutral,neutral,positive
"Chất lượng sản phẩm: toot. Tính năng nổi bật: cos đèn chiếu ở tai mèo. Hàng đẹp nha, bạn túi ài còn mua thêm nữa cơ. Uy tín",5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: nghe cũng ổn. Kết nối cũng xa. Mới mua ko lâu chưa biết được độ bền tai nghe có luôn chỗ để cắm dây ai thích có dây thì kiếm mua thêm,5,neutral,neutral,positive
Mình thấy sản phẩm dùng được giá cả cũng rất phù hợp mn có thể thử,5,positive,positive,positive
"Chất lượng sản phẩm: tốt, nghe âm thanh khá ổn. Tính năng nổi bật: kết nối Bluetooth ổn định. Sản phẩm chất lượng cao phù hợp với giá tiền",5,positive,positive,positive
Hmm lần đầu mua nên mih có coi revie thấy có thể tắt đc đèn mà tai của mih ko tắt dc ko biết s nhma nói chung tai nghe dễ thương,5,neutral,neutral,neutral
Chất lượng sản phẩm: Shop bán không gian giối về hàng rất nhanh lại còn dễ dùng nói chung là đỉnh có gì lần tới tôi sẽ mua tiếp,5,positive,positive,positive
Chất lượng sản phẩm: Tốt. Tuyệt vời mọi nguoi nên mua nhen giá rẻ mà siu siu đẹp lun đóa,5,positive,positive,positive
Chất lượng sản phẩm: chưa dùng nên chưa biết. Tính năng nổi bật: đẹp. Giao hàng nhanh cái khâu chuẩn bị hàng chậm nhé,5,neutral,neutral,neutral
Sản phẩm rất ô kê tôi rất thích. K tiện chụp ảnh lên lấy tạm ảnh linh tinh shop thoing cảm. Mọi người lên mua nha,5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: tốt. Hàng tốt rẻ nên mua. Tai nghe đáng ui. Mik tặng r nên k chụp ảnh đc,5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: pin trâu. Ok quá chất lượng. Shop chat nhiệt tình lần sau sẽ mua thêm,5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: như mô tả. Giáo hàng nhanh đóng gói cẩn thận sẽ ủng hộ shop tiếp ạ,5,positive,positive,positive
Chất lượng sản phẩm: chất lượng tốt. Tính năng nổi bật: nghe. Hình ảnh và video chỉ kang tinh chất nhận xu,5,neutral,neutral,positive
Ư ư ư ư ư học sinh giỏi lớp Đại học sư phạm kỹ thuật số sản phẩm của mình và người thân của mình,5,neutral,neutral,neutral
An thanh nghe ok pin sử dụng lâu không yêu cầu quá cao về sản phẩm vì tiền nào của đó,4,neutral,neutral,positive
Sản phẩm đúng. Như hình. có điều chưa đủ pin nên chưa sử dụng được. Shop giao nhanh,4,neutral,neutral,positive
Sản phẩm oke nge đc cosplay đều đc khá là đẹp giao hàng nhanh nchung ổn,5,positive,positive,positive
Sp ok so với giá tiền đáng để mua lắm. Mua chụp ảnh nma đẹp tuyệt,5,positive,positive,positive
hang ok âm thanh nghe êm ko biets có dc bền hay ko thi chưa biết dc,5,neutral,neutral,neutral
Dùng ổn nhưng màu không được như mong đợi. Có vẻ pin hết hơi nhanh,3,negative,neutral,neutral
Chất lượng sản phẩm: ổn. Tính năng nổi bật: ko. Tai nghe mình thấy nghe ổn nhưng đeo lâu thì đau tai nhé mngg.,5,neutral,neutral,neutral
Chất lượng sản phẩm: qua te. bán được thì bán ko được thì đừng bán đừng có để giá sale rồi muốn bán hàng gì thì bán m bán cái lồn này thì ai sài được,1,negative,negative,negative
"Sản phầm rất oke, nghe khá là ổn, âm thanh tốt không bị rò rỉ ra bên ngoài",5,positive,positive,positive
"Chất lượng sản phẩm: Tốt, âm thanh rõ. Tính năng nổi bật: Hai cái tai mèo. Kết nối nhanh, bề ngoài đẹp.",4,positive,positive,positive
sản phẩm rất tuyệt dùng được giá rẻ đóng gói cẩn thận. okee,5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: nghe nhạc. Shop uy tín giao hàng nhanh sản phẩm nghe hay với giá hợp lý,5,positive,positive,positive
Tính năng nổi bật: đèn sáng. Chất lượng sản phẩm: tốt. Rất ôk luôn đấy à chị à em có gì thì làm gì cho em gái của em về,5,positive,positive,neutral
Sản phẩm giao nhanh hàng k mà sài đc là tuyệt cờ là vời luôn. Sẽ ủng hộ nếu còn giá k,5,positive,positive,positive
"Chất lượng sản phẩm: tuyệt vời. Tính năng nổi bật: có thể tắt bật đèn RGB ở tai nghe. Sản phẩm nhỏ dành cho trẻ em và cán bạn nữ trai ko hợp,mn lưu ý tại nghe Bluetooth đang kết nối với đt thì sẽ ko tắt tai nghe Bluetooth đc mn phải tắt Bluetooth trên đt thì mới tắt đc Bluetooth trên tai nghe.chứ mn đừng đánh giá shop sao khi chưa biết vấn đề",5,positive,positive,positive
"Tính năng nổi bật: nghe nhạc. Chất lượng sản phẩm: tốt. Tai nghe xịn, mình săn đc k và mất thêm ship với giá k thì không có gì phải bàn cãi, nghe nhạc và chơi game ổn đáng tiền mua lắm mọi người ạ, k biết dùng lâu có bị sao k nữa còn hiện tại thì chất lượng, lần sau sẽ ủng hộ thêm cho shop, xứng đáng đc saoo",5,positive,positive,positive
Chất lượng sản phẩm: ổn. Sản phẩm ok. Kèm cả dây sạc. Mọi người nên mua về trải nghiệm thử,5,positive,positive,positive
Chất lượng sản phẩm: siêu tốt. Tính năng nổi bật: tăng độ cute lun. Xinh lắm mua ik shop siêu cute lun em chất lượng khỏi bàn cute lắm lun,5,positive,positive,positive
Ôn tập môn phân tích bạn có thể cả các loại máy bay đi Đà nẵng tiếng,5,neutral,neutral,neutral
Sản phẩm tốt dẻo câu đc.Ảnh và video chỉ mang tính chất nhận xu,5,neutral,neutral,positive
"Chất lượng sản phẩm: ok. Tính năng nổi bật: xinh và âm thanh lớn. Shop gói khá ok,nghe cx lớn ko kém, mà màu cx cực cưng lun",5,positive,positive,positive
"Chất lượng sản phẩm: ok. Tính năng nổi bật: âm thanh ổn. Shop giao hàng nhanh, đóng gói cẩn thận, mua được với giá hời nên ko đòi hỏi gì nhiều. Mn nên mua nha",5,positive,positive,positive
"Hàng đẹp chất lg nha, pin hơi xìu tí thôi n mà vẫn oke nên mua.",5,positive,positive,positive
Giao hàng nhanh tầm ngày. Tai nghe ổn nhưng nếu nằm nghiêng sẽ dễ bị đau tai khá dễ thương,5,neutral,neutral,neutral
Chất lượng sản phẩm: . Tính năng nổi bật: Rất êm. Tuyệt vờii shop rất nhiệt tình m người nên mua nha rẻ mà chất lượng lắm á,5,positive,positive,positive
Chất lượng sản phẩm:  sao. Tính năng nổi bật: vp. Hàng siêu đỉnh chất lượng và siêu bền,5,positive,positive,neutral
Chất lượng sản phẩm: âm thanh đỉnh. Shop đóng gói cẩn thận giao hàng nhanh tai nghe xinh âm thanh nghe êm và chất luợng lắm ạ,5,positive,positive,positive
"Chất lượng sản phẩm: Ok. Tính năng nổi bật: Nghe nhạc. Săn sale đc giá rẻ mà k nghĩ rất chất lượng, nghe rõ",5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: ổn. ile gốc của sách luôn ấy e cần thì nói lại c nha trang e có mua e,5,positive,positive,positive
Chất lượng sản phẩm: tốt. Tính năng nổi bật: tốt. Cung. Được nha mn do săn sale có k à gói hàng kĩ mà lúc mở ra thì thấy hơi cũ còn bị mủm vài chỗ cũng tạm đc ạ,5,positive,neutral,neutral
"Chất lượng sản phẩm: ok khá tốt. shop đóng gói cẩn thận, tai nghe sd tốt kh bị dè, anh ship thân thiện",4,positive,positive,positive
Mình biết đơn hàng đầu tiên sẽ đc giảm còn k nhưng như này thì mình thấy ko bằng đc các shop khác giao đơn đ cho mình,2,negative,negative,negative
"Tính năng nổi bật: Nghe êm, xinh xắn. Chất lượng sản phẩm: Tốt hơn mong đợi. Rất là xinh xắn, săn sale giá rẻ mà rất ưng",5,positive,positive,positive
Chất lượng sản phẩm: tai nghe lỏng lẻo mong shop làm trắc hơn. Tính năng nổi bật: bình thường. Tai nghe cách âm tốt,5,negative,positive,negative
an của nó là cái gì cũng nên có những thứ khác nữa chứ không phải ai,5,neutral,positive,neutral
"Sản phẩm tốt, giao hàng nhanh, sản phẩm giống hình, shop phục vụ tốt",5,positive,positive,positive
"Chất lượng sản phẩm: đẹp. Tính năng nổi bật: phát sáng. hàng rất đẹp ngoài sự mong đợi của mình, mình chỉ",5,positive,positive,positive
"Giao hàng nhanh lắm luôn, đã test sản phẩm, chất lượng thực sự. Cảm ơn shop nhiều ạ",5,positive,positive,positive
Chất lượng sản phẩm: mình nhận dc hàng rồi.hàng đẹp và chất lượng rất tốt ạ. hàng ok lắm sốp,5,positive,positive,positive
"giao sai màu, nhưng sài cũng ok, hơi nhỏ, giao nhanh, màu chớp hơi chóng mặt",5,neutral,positive,neutral
"Tai nghe đẹp với nghe ổn áp lắm, hơn những gì mình mong đợi có dịp sẽ ủng hộ shop tiếp",5,positive,positive,positive
"Sản phẩm đẹp lắm á, trông cute thực sự. Hàng chất lượng nha mn, đáng mua",5,positive,positive,positive
Sản phẩm tốt. Giao hàng nhanh. Chất lương ok.,5,positive,positive,positive
"Shop tư vấn nhiệt tình lắm nha, mình od tai nghe mà shop gửi nhầm cái là shop gọi giải quyết cho mình luôn. Thật sự rất ưng ý cách làm việc của shop. Chất lượng sản phẩm:  thì khỏi bàn luôn. Quá tuyệt vời",5,positive,positive,positive
Tai nghe đẹp và chắc chắn. Âm thanh ổn. Chất lượng tuyệt. Video mang tính chất nhận xu,5,positive,positive,positive
Tai nghe xinh. Nhưng chỉ phù hợp để đeo chơi hoặc để chụp ảnh thôi chứ đeo nghe lâu thì hơi bị đau,5,neutral,neutral,negative
"Shopp đóng gói cẩn thận, màu xinh, âm thanh cg tạm ổn, đeo lâu thì đau tai, đèn thì pị hỏng một bên hơi buồn xíu, chơi game thì đoạn nghe được đoạn ko, nói chung vs giá này thì cg k đòi hỏi nhiều được cái chụp ảnh xinh",3,neutral,neutral,neutral
"Video chỉ mang tính chất nhận xu, còn hình ảnh là thật. Shop giao hàng nhanh, gói cẩn thận, giao đúng màu đúng mẫu mình đặt. Tai nghe dễ thương đẹp như hình, màu hơi nhạt xíu so với hình thui nhưng bên ngoài vẫn xinh lắm. Nghe êm không bị đau vành tai nữa sẽ ủng hộ thêm lần sau nếu có dịp.",5,positive,positive,positive
"Chu cha ơi, đơn hàng mà tui tưởng giao chậm nhất lại giao nhanh nhất, nghe nhạc như để cái loa bên cạnh ắ, nó cứ đã kiểu gì í",4,positive,positive,positive
"Tai nghe xinh xỉu, tiếng to xỉu luôn, đèn cứ chớp chớp như cây thông noel",5,positive,positive,positive
Giao hàng lâu nhưng dịch không trách được. Tại nghe ổn. To nhỏ được nút nguồn và bật tắt đèn được. Nhưng nghe gọi và chuyển đổi kênh dùng không được không biết có phải do mình nhấn sai không nhưng ấn Hoài không đổi kênh được.,4,neutral,positive,neutral
Tai nghe nhìn cute xỉu luôn. Shop phản hồi cũng rất nhanh. Mình sẽ ủng hộ tiếp.,5,positive,positive,positive
"Hình ảnh và video chỉ mang tính chất nhận xu. Sản phẩm ok, phù hợp với giá tiền, giao hàng nhnh",5,positive,positive,positive
Shop đóng gói sản phẩm cẩn thận lắm ạ. Tai nghe cũng rất xinh xắn.,5,positive,positive,positive
"Tai nghe đúng hình, đẹp, màu xinh, chất âm nghe phê chữ ê kéo dài, đáng đồng tiền, đúng nghĩa ngon bổ siêu rẻ. Chất lượng xứng đáng điểm",5,positive,positive,positive
"Tai nghe xinh, âm thanh nghe cũng ok. Nhưng có điều, mình đã nói trước với shop là nhớ kiểm tra phụ kiện đi kèm, nhưng cuối cùng shop vẫn quên. Thành ra tai phone của mình k có dây cáp kết nối laptop. Mình phải mua thêm ở ngoài. Mong shop chú ý nhé",5,negative,negative,negative
Sản phẩm tốt sài được cmt chỉ để nhậ xu nha nhưng hàng tốt nên mua nha mọi người,5,positive,positive,positive
"Hàng đẹp lắm ạ, shop trợ giúp nhiệt tình. Giao hàng thì mình ở HCM đặt từ thì giao ạ. Mn nên mua thử nhé",5,positive,positive,positive
"Giao hàng nhanh, sản phẩm ok, đủ phụ kiện, đeo dễ bị đau tai, hộp bị móp méo",5,positive,positive,neutral
"Hàng xinh như ảnh ạ, do dịch nên giao hơi lâu nhưng hàng êm nên chấp nhận",5,neutral,positive,positive
"tai nghe tốt tai nghe pin giữ được lâu mỗi tội đèn không tắt được, giao hàng nhanh",5,positive,neutral,neutral
"Tai nghe đeo êm, có thể điều chỉnh độ dài ở bên, nghe âm thanh rõ, đèn tai mèo đẹp",5,positive,positive,positive
Hàng ukii nhaRấtt ưng ý luônn Cámm. Ơnn shopp rấtt nhiềuu. Ảnh và video mang tính chất nhận xu,5,positive,positive,positive
Hàng nhận về rất ưng ý. Đóng gói cẩn thận. Tai nghe màu Hồng cute cưng lắm ý. Đáng mua nha,5,positive,positive,positive
Tai nghe xinh lắm luôn shop còn nhiệt tình chỉ mk sử dụng nxx,5,positive,positive,positive
"Dễ thương, giá vừa phải, mấy cái nút ấn kh nhạy. Nói chung cũng ổn",4,neutral,neutral,neutral
Chất lượng sản phẩm: Tốt. Sản phẩm tuyệt vời đẹp đẽ hay ho tuyệt đẹp đẹp nhất hệ mặt hành tinh của vũ trụ ạ,5,positive,positive,positive
"Shop giao hàng đúng màu, đúng mẫu. Tai nghe đẹp, nghe êm, có thể chỉnh được nhiều mode nghe khác nhau, có nút âm lượng, chuyển bài, nghe điện thoại được luôn. Kết nối bluetooth hay nghe dây đều được, mic khá ổn. Lúc nghe bluetooth tai chớp đèn rất vui mắt. Shop đóng gói kĩ, phục vụ nhiệt tình.",5,positive,positive,positive
Shop chăm sóc khách hàng với thái độ chưa được tốt lắm Còn chất lượng sản phẩm thì ổn. Đóng gói hàng còn móp méo.,3,neutral,neutral,negative
"đã đập hộp, cực kì xinh, thích lắm luôn ạ, tai nghe vừa bluetooth được, vừa chép nhạc vô tai nghe được, vừa bắt phone nghe đt hoặc voice chat được, cool, thích lắm luôn, đúng chất đẹp tiện, thời đại cập nhật đúng chuẩn. âm thanh nghe tốt, cho shop sao uy tín, hàng tốt, đống gói kĩ lưỡng.",5,positive,positive,positive
Trời ơi cưng xỉu xỉu luôn thanks shop nhiều ạ. phone nghe sướg tai luôn shop tặg hình dán đúg tuổi của mìh luôn thích ghê,5,positive,positive,positive
"tai nghe đẹp, âm thanh nghe hay, phù hợp với giá tiền",5,positive,positive,positive
"Mua ở shop lần thứ hai rồi mà vẫn ưng lắm luôn, tiếc là hết màu mình thích",5,positive,positive,positive
"Đóng gói rất kỹ, giao hàng nhanh, hàng đẹp, màu dễ thương, chất lượng âm thanh tốt, chưa biết bền không.",5,positive,positive,positive
"Shop nhiệt tình hàng giao nhanh, chất lượng rất ok, sẽ ủng hộ tiếp",5,neutral,neutral,positive
Chất lượng rất ổn nha mọi người. Tai nghe xinh xắn cute chắc chắn. Khi nhận hàng mình chưa hề sạc mà nghe cả tiếng rưỡi chưa hết pin.,5,positive,positive,positive
Canh bao cho nhung ban co y đinh vao choi cac loai tien ao. Va đay la chi gai cua e cung la nan nhan choi cai san giao dich iinex. Mong moi nguoi seo va chia se giup e đe nhung nguoi chua choi thi khong nen choi,5,negative,positive,neutral
"Hàng về được vài ngày rồi mà giờ mới có thời gian đánh giá. Tai nghe xinh lắm ạ, xinh từ hộp xinh đến tai nghe bên trong nghe liên tục chắc được khoảng tiếng gì đó không để ý lắm, lúc mới thì thỉnh thoảng hơi trễ chút, về sau thì oke.",5,positive,positive,positive
"Mua cho bé xài, bé nhà mình cực thích, màu siêu yêu lun, shop chuẩn bị hàng ok ko lỗi sp",5,positive,positive,positive
"Tai nghe rất dễ thương, nhìn chắc chắn và xịn xò. Nhưng mic nhỏ, muốn to thì ai bật loa to mà bật loa to thì ng bên kia nói muốn điếc tai, huhuu.",5,negative,negative,negative
Tai nghe xịn lắm luôn ạ nghe êm còn cute với giá thế này thì quá là chất lượng,5,positive,positive,positive
"Mua lần rồi, rất ok shop có tâm lắm ktra hàng trc theo yêu cầu của khách, bé nhà mình rất thích, đáng để mua",5,positive,positive,positive
Cmu củgklviuxxrgckg igcicur di kh ì ìcg gi it og kvgi. Gịckvkv gìc g khhi t,5,positive,positive,neutral
"chất lượng âm thanh tốt, không rè, pin dùng được tiếng rồi chưa thấy hết, nghe êm tai mà dễ thương nữa",5,neutral,neutral,positive
"Hàng ok, giao hàng hơi lâu tý, sản phẩm đẹp, có mic nha mọi người, đèn nhấp nháy cute lắm luôn",5,positive,positive,positive
Siêu cute. Hơi buồn vì shop chỉ gửi mỗi sạc thiếu dây cắm vào tai nghe.,5,negative,negative,negative
"Mới nhận được hàng khá ok tai nghe êm. Phù hợp với giá tiền có tặg kèm dây kết nối với điện thoại, giao hàng nhanh",5,positive,positive,positive
Hơi chễ cũng ổn mẫu mã đẹp kgdoydoyullulluludlydlhhdkhdkyskyhkxhlxhckvxhmhcmbxgkxkhx,4,neutral,positive,neutral
"Hàng rất tuyệt vời, có dây cắm và dây sạc đầy đủ. Bạn nào có thắc mắc nút tắt đèn led thì ấn vào nút call",5,positive,positive,positive
xxkiss. Mkxkxks. Kxkkxkx. K kkxkx. Kxkkxx. Kxkxkx. Kxkkxks. Kxkkx. Kxkxx. Kxkx,5,positive,neutral,neutral
so ciu thanks shop nhìuu service tốt lun hihihi,5,positive,positive,positive
Hàng như hình ạ. Mỗi tội của em thiếu mất dây kết nối với máy tính ạ,5,negative,negative,negative
Hàng đúng hình. Giá rẻ mà chất lượng rất tuyệt nhaa,5,positive,positive,positive
"Tai nghe dễ thương cực kì, màu rất đẹp,nghe êm tai. Mình sẽ sử dụng thử một thời gian. Nếu ok sẽ ủng hộ shop lần sau.",5,positive,positive,positive
ekisbxui. Năm sao. Đẹp. Giống hình. U laibsinsisid. Ksnsihdbis. Hddnbidbdie. ddisndibdiebkdneisbibdosni. Idisndchue. Hdidnendnd dhbdiddbd.,5,positive,positive,neutral
Hình ảnh chỉ mang tính chất nhận xu. Nhưng tai nghe đẹp lắm ạ. Hddekkssdnxnnsskskndnxdndnxndndndnd,5,negative,negative,positive
"Sản phẩm giống hình, màu đẹp, nghe êm, siêu cấp dễ thương, sẽ ủng hộ shop trong tương lai.",5,positive,positive,positive
"Giao hàng nhanh, cầm chắc tay, bao trùm tai nghe dầy dặn, ko biết có bền không, cám ơn shop",5,positive,positive,positive
"Đã nhận được hàng phù hợp với số tiền mà mình bỏ ra, đóng gói hàng cẩn thận đẹp mắt, thời gian giao hàng đúng như dự kiến giao hàng nhanh chóng",5,positive,positive,positive
Okie các bác ạ. Em chưa test nhưng cảm quan qua so với giá thì sp okie các bác ah.,5,positive,positive,neutral
"Shop giao thiếu giây kết nối âm thanh. Giao hàng nhanh, tai nghe xinh dễ thương.",5,negative,negative,negative
"giao hàng hơi lâu do dịch bệnh, chất lượng sản phẩm oke, âm thanh ổn áp, màu đẹp.",5,neutral,neutral,neutral
"Hàng đẹp, sau này thì mình không biết nhưng giờ nghe cũng êm không bị rè",5,positive,positive,positive
Sản phẩm tốt. Giao hàng đóng gói cẩn thận. Giá cũng oke mn nên mua,5,positive,positive,positive
Phải nói là cưngg xỉu luôn nha. Màu tím pastel cực xịn luôn. Tờ hướng dẫn nhìn dễ hiểu nữa nên cũng không cần phiền shop. Buổi tối tắt đèn cái là nó chóp như bar luôn nha. Volum mức thôi là nghe lớn rồi mở hết lóc thì nó như cái loa luôn á tùy máy và âm thanh vẫn nhỏ hơn âm điện thoại,5,positive,positive,positive
"Hàng rất ok,chất lượng. Tai nghe giống y hình minh họa. Giao hàng nhanh. Tư vấn chu đáo. Nghe rất êm tai. Đáng giá tiền.",5,positive,positive,positive
Sản phẩm ok. Chất lượng khá tốt. Sẽ tiếp tục ủng hộ.,5,positive,positive,positive
Tai nghe ổn lắm nhaa. Êmm lắm. Iuu shopp,5,positive,positive,positive
Tai nghe màu rất đẹp giống mô tả mình chưa nghe thử chất lượng âm thanh,5,neutral,neutral,neutral
siêu đáng tiền nha cả nhà tội cái hơi nặng đầu xíu. nói chung với giá này thì ucila,5,neutral,positive,positive
"Sản phẩm đẹp như hình, mk đã test thử và nghe rất tốt nhưng đeo mk có cảm giác nóng tai còn tất cả ok",5,neutral,neutral,neutral
"Shop đóng gói kĩ, mẫu đẹp y hình, đúng màu bé nhà thích, nghe thử ngày mới đánh giá, máy nghe êm tai, tầm giá thế này chất lượng qá tốt, nên mua nhé mm.",5,positive,positive,positive
"Cưng lắm luôn màu đẹp mà do sale nên thấy rẻ, nhưng mà giao thiếu mất dây nên hơi thấy thất vọng.",5,negative,negative,negative
Thấy cũng ổn. Hy vọng xài kỹ sẽ bền vì hàng made in China.. Sách hướng dẫn có tiếng Anh mà cũng rườm rà lắm. Phải tự mò các chức năng.,5,neutral,positive,neutral
"Cuối cùng hàng cũng về rồi, dễ thương vô đối luôn, mình thích lắm luôn nha Mơn shop Yêu shop Lần sau sẽ tiếp tục ủng hộ",5,positive,positive,positive
All mai ae có việc gì báo nghiệm thu trong ngày mai dồn lúc luôn nhé. Chủ nhật bql bận.,5,neutral,positive,neutral
Tai nghe khá là chắc chắn. Giá k quá ổn. Chỉ buồn cái là lúc ib hỏi shop ko trả lời thôi. Nghe êm tai cực kì,5,neutral,positive,negative
Sao k tắt đèn được v ạ.,4,neutral,neutral,negative
"Shop nhiệt tình, sp dễ thương, mình mua về chụp ảnh thôi chứ đeo lâu thì hơi đau tai đó nhen, âm thanh tốt, đáng tiền nha",5,positive,positive,positive
"Tai nghe đẹp, kết nối nhanh, mà mình hong biết tắt cái đèn kiểu gì á",5,neutral,negative,negative
"Chất lượng tốt, giao hàng nhanh chóng, phù hợp với giá tiền,",5,positive,positive,positive
Êm lắm nha.igigcgxitxtcoyxtixixgvlhxxgixhchck,5,neutral,neutral,positive
Tai nghe siêu xinhh luôn nha các bác. Mn nên mua ạ.,5,positive,positive,positive
Siêu siêu cute lun ạ. nghe siêu êm tai,5,positive,positive,positive
Đẹp giao hàng nhanh lắm nhưng mình đặt màu hồng thì giao màu tím ulatr vì đóng đơn lên kh đổi dc màu hoc,5,negative,negative,negative
"tai nghe xịn lắm huhu, mỗi tội t bật đèn k dc, chắc do ngu huhuu nhm khá ổn đó",5,positive,neutral,neutral
tai nghe êm cực kỳ xinh nữa. giao hàng nhanh. thích lắm luôn. âm thanh rất tốt. tai nghe cũng chắc chắn,5,positive,positive,positive
"Tai nghe màu chuẩn, đeo êm nghe nhạc hay bé rất thix sẽ ủng hộ shop tiep",5,positive,positive,positive
